goos: darwin
goarch: arm64
pkg: slices-bench
BenchmarkInsertAtSlice/input_size_5-8         	 4034302	       275.4 ns/op	     320 B/op	      11 allocs/op
BenchmarkInsertAtSlice/input_size_50-8        	  492369	      2440 ns/op	    3488 B/op	     101 allocs/op
BenchmarkInsertAtSlice/input_size_100-8       	  257863	      4715 ns/op	    6464 B/op	     201 allocs/op
BenchmarkInsertAtSlice/input_size_100-8       	  253821	      4668 ns/op	    6464 B/op	     201 allocs/op
BenchmarkInsertAtSlice/input_size_100-8       	  254106	      4650 ns/op	    6464 B/op	     201 allocs/op
BenchmarkInsertAtSlice/input_size_100-8       	  255603	      4632 ns/op	    6464 B/op	     201 allocs/op
BenchmarkInsertAtSlice/input_size_100-8       	  264042	      4712 ns/op	    6464 B/op	     201 allocs/op
BenchmarkInsertAtSlice/input_size_100-8       	  250435	      4756 ns/op	    6464 B/op	     201 allocs/op
BenchmarkInsertAtSlice/input_size_100-8       	  244167	      4799 ns/op	    6464 B/op	     201 allocs/op
BenchmarkInsertAtSlice/input_size_100-8       	  242960	      4744 ns/op	    6464 B/op	     201 allocs/op
BenchmarkInsertAtSlice/input_size_100-8       	  228595	      4833 ns/op	    6464 B/op	     201 allocs/op
BenchmarkInsertAtSlice/input_size_100-8       	  222217	      4749 ns/op	    6464 B/op	     201 allocs/op
BenchmarkInsertAtSlice/input_size_500-8       	   39661	     30014 ns/op	   35776 B/op	    1401 allocs/op
BenchmarkInsertAtSlice/input_size_500-8       	   40234	     30405 ns/op	   35776 B/op	    1401 allocs/op
BenchmarkInsertAtSlice/input_size_500-8       	   38886	     30194 ns/op	   35776 B/op	    1401 allocs/op
BenchmarkInsertAtSlice/input_size_500-8       	   40005	     30230 ns/op	   35776 B/op	    1401 allocs/op
BenchmarkInsertAtSlice/input_size_500-8       	   39798	     29586 ns/op	   35776 B/op	    1401 allocs/op
BenchmarkInsertAtSlice/input_size_500-8       	   40413	     30645 ns/op	   35776 B/op	    1401 allocs/op
BenchmarkInsertAtSlice/input_size_500-8       	   39226	     31247 ns/op	   35776 B/op	    1401 allocs/op
BenchmarkInsertAtSlice/input_size_500-8       	   39819	     30273 ns/op	   35776 B/op	    1401 allocs/op
BenchmarkInsertAtSlice/input_size_500-8       	   38926	     33047 ns/op	   35776 B/op	    1401 allocs/op
BenchmarkInsertAtSlice/input_size_500-8       	   37162	     31005 ns/op	   35776 B/op	    1401 allocs/op
BenchmarkInsertAtSlice/input_size_1000-8      	   19386	     63456 ns/op	   72352 B/op	    2901 allocs/op
BenchmarkInsertAtSlice/input_size_1000-8      	   19556	     61319 ns/op	   72352 B/op	    2901 allocs/op
BenchmarkInsertAtSlice/input_size_1000-8      	   18824	     61797 ns/op	   72352 B/op	    2901 allocs/op
BenchmarkInsertAtSlice/input_size_1000-8      	   19310	     61688 ns/op	   72352 B/op	    2901 allocs/op
BenchmarkInsertAtSlice/input_size_1000-8      	   19398	     62506 ns/op	   72352 B/op	    2901 allocs/op
BenchmarkInsertAtSlice/input_size_1000-8      	   19414	     62783 ns/op	   72352 B/op	    2901 allocs/op
BenchmarkInsertAtSlice/input_size_1000-8      	   19579	     60889 ns/op	   72352 B/op	    2901 allocs/op
BenchmarkInsertAtSlice/input_size_1000-8      	   19693	     61404 ns/op	   72352 B/op	    2901 allocs/op
BenchmarkInsertAtSlice/input_size_1000-8      	   19850	     73730 ns/op	   72352 B/op	    2901 allocs/op
BenchmarkInsertAtSlice/input_size_1000-8      	   19477	     61355 ns/op	   72352 B/op	    2901 allocs/op
BenchmarkInsertAtSlice/input_size_10000-8     	    1754	    683269 ns/op	  794533 B/op	   29901 allocs/op
BenchmarkInsertAtSlice/input_size_10000-8     	    1876	    678863 ns/op	  794532 B/op	   29901 allocs/op
BenchmarkInsertAtSlice/input_size_10000-8     	    1785	    678418 ns/op	  794533 B/op	   29901 allocs/op
BenchmarkInsertAtSlice/input_size_10000-8     	    1814	    670459 ns/op	  794532 B/op	   29901 allocs/op
BenchmarkInsertAtSlice/input_size_10000-8     	    1689	    691857 ns/op	  794533 B/op	   29901 allocs/op
BenchmarkInsertAtSlice/input_size_10000-8     	    1776	    696048 ns/op	  794532 B/op	   29901 allocs/op
BenchmarkInsertAtSlice/input_size_10000-8     	    1678	    704699 ns/op	  794532 B/op	   29901 allocs/op
BenchmarkInsertAtSlice/input_size_10000-8     	    1706	    705483 ns/op	  794532 B/op	   29901 allocs/op
BenchmarkInsertAtSlice/input_size_10000-8     	    1689	    698729 ns/op	  794531 B/op	   29901 allocs/op
BenchmarkInsertAtSlice/input_size_10000-8     	    1780	    692936 ns/op	  794532 B/op	   29901 allocs/op
PASS
ok  	slices-bench	102.897s
